# object name: SOLAR_PANEL+Z
-3.141593 -1.570796 1.000000
-2.879793 -1.570796 1.000000
-2.617994 -1.570796 1.000000
-2.356194 -1.570796 1.000000
-2.094395 -1.570796 1.000000
-1.832596 -1.570796 1.000000
-1.570796 -1.570796 1.000000
-1.308997 -1.570796 1.000000
-1.047198 -1.570796 1.000000
-0.785398 -1.570796 1.000000
-0.523599 -1.570796 1.000000
-0.261799 -1.570796 1.000000
0.000000 -1.570796 1.000000
0.261799 -1.570796 1.000000
0.523599 -1.570796 1.000000
0.785398 -1.570796 1.000000
1.047198 -1.570796 1.000000
1.308997 -1.570796 1.000000
1.570796 -1.570796 1.000000
1.832596 -1.570796 1.000000
2.094395 -1.570796 1.000000
2.356194 -1.570796 1.000000
2.617994 -1.570796 1.000000
2.879793 -1.570796 1.000000
3.141593 -1.570796 1.000000

-3.141593 -1.308997 1.000000
-2.879793 -1.308997 1.000000
-2.617994 -1.308997 1.000000
-2.356194 -1.308997 1.000000
-2.094395 -1.308997 1.000000
-1.832596 -1.308997 1.000000
-1.570796 -1.308997 1.000000
-1.308997 -1.308997 1.000000
-1.047198 -1.308997 1.000000
-0.785398 -1.308997 1.000000
-0.523599 -1.308997 1.000000
-0.261799 -1.308997 1.000000
0.000000 -1.308997 1.000000
0.261799 -1.308997 0.757576
0.523599 -1.308997 0.595238
0.785398 -1.308997 0.488889
1.047198 -1.308997 0.433962
1.308997 -1.308997 0.403846
1.570796 -1.308997 0.250000
1.832596 -1.308997 0.403846
2.094395 -1.308997 0.433962
2.356194 -1.308997 0.488889
2.617994 -1.308997 0.595238
2.879793 -1.308997 0.757576
3.141593 -1.308997 1.000000

-3.141593 -1.047198 1.000000
-2.879793 -1.047198 1.000000
-2.617994 -1.047198 1.000000
-2.356194 -1.047198 1.000000
-2.094395 -1.047198 1.000000
-1.832596 -1.047198 1.000000
-1.570796 -1.047198 1.000000
-1.308997 -1.047198 1.000000
-1.047198 -1.047198 1.000000
-0.785398 -1.047198 1.000000
-0.523599 -1.047198 1.000000
-0.261799 -1.047198 1.000000
0.000000 -1.047198 1.000000
0.261799 -1.047198 0.609756
0.523599 -1.047198 0.431034
0.785398 -1.047198 0.376812
1.047198 -1.047198 0.307692
1.308997 -1.047198 0.214286
1.570796 -1.047198 0.000000
1.832596 -1.047198 0.214286
2.094395 -1.047198 0.307692
2.356194 -1.047198 0.376812
2.617994 -1.047198 0.431034
2.879793 -1.047198 0.609756
3.141593 -1.047198 1.000000

-3.141593 -0.785398 1.000000
-2.879793 -0.785398 1.000000
-2.617994 -0.785398 1.000000
-2.356194 -0.785398 1.000000
-2.094395 -0.785398 1.000000
-1.832596 -0.785398 1.000000
-1.570796 -0.785398 1.000000
-1.308997 -0.785398 1.000000
-1.047198 -0.785398 1.000000
-0.785398 -0.785398 1.000000
-0.523599 -0.785398 1.000000
-0.261799 -0.785398 1.000000
0.000000 -0.785398 1.000000
0.261799 -0.785398 0.521739
0.523599 -0.785398 0.371429
0.785398 -0.785398 0.273810
1.047198 -0.785398 0.171717
1.308997 -0.785398 0.138889
1.570796 -0.785398 0.000000
1.832596 -0.785398 0.138889
2.094395 -0.785398 0.171717
2.356194 -0.785398 0.273810
2.617994 -0.785398 0.371429
2.879793 -0.785398 0.521739
3.141593 -0.785398 1.000000

