# object name: Structure
-3.141593 -1.570796 1.000000
-2.879793 -1.570796 1.000000
-2.617994 -1.570796 1.000000
-2.356194 -1.570796 1.000000
-2.094395 -1.570796 1.000000
-1.832596 -1.570796 1.000000
-1.570796 -1.570796 1.000000
-1.308997 -1.570796 1.000000
-1.047198 -1.570796 1.000000
-0.785398 -1.570796 1.000000
-0.523599 -1.570796 1.000000
-0.261799 -1.570796 1.000000
0.000000 -1.570796 1.000000
0.261799 -1.570796 1.000000
0.523599 -1.570796 1.000000
0.785398 -1.570796 1.000000
1.047198 -1.570796 1.000000
1.308997 -1.570796 1.000000
1.570796 -1.570796 1.000000
1.832596 -1.570796 1.000000
2.094395 -1.570796 1.000000
2.356194 -1.570796 1.000000
2.617994 -1.570796 1.000000
2.879793 -1.570796 1.000000
3.141593 -1.570796 1.000000

-3.141593 -1.308997 1.000000
-2.879793 -1.308997 0.949686
-2.617994 -1.308997 0.901840
-2.356194 -1.308997 0.876543
-2.094395 -1.308997 0.820359
-1.832596 -1.308997 0.807453
-1.570796 -1.308997 0.833333
-1.308997 -1.308997 0.807453
-1.047198 -1.308997 0.820359
-0.785398 -1.308997 0.876543
-0.523599 -1.308997 0.901840
-0.261799 -1.308997 0.949686
0.000000 -1.308997 1.000000
0.261799 -1.308997 0.949686
0.523599 -1.308997 0.901840
0.785398 -1.308997 0.876543
1.047198 -1.308997 0.820359
1.308997 -1.308997 0.807453
1.570796 -1.308997 0.833333
1.832596 -1.308997 0.807453
2.094395 -1.308997 0.820359
2.356194 -1.308997 0.876543
2.617994 -1.308997 0.901840
2.879793 -1.308997 0.949686
3.141593 -1.308997 1.000000

-3.141593 -1.047198 1.000000
-2.879793 -1.047198 0.911111
-2.617994 -1.047198 0.836842
-2.356194 -1.047198 0.776596
-2.094395 -1.047198 0.721053
-1.832596 -1.047198 0.686170
-1.570796 -1.047198 0.666667
-1.308997 -1.047198 0.686170
-1.047198 -1.047198 0.721053
-0.785398 -1.047198 0.776596
-0.523599 -1.047198 0.836842
-0.261799 -1.047198 0.911111
0.000000 -1.047198 1.000000
0.261799 -1.047198 0.911111
0.523599 -1.047198 0.836842
0.785398 -1.047198 0.776596
1.047198 -1.047198 0.721053
1.308997 -1.047198 0.686170
1.570796 -1.047198 0.666667
1.832596 -1.047198 0.686170
2.094395 -1.047198 0.721053
2.356194 -1.047198 0.776596
2.617994 -1.047198 0.836842
2.879793 -1.047198 0.911111
3.141593 -1.047198 1.000000

-3.141593 -0.785398 1.000000
-2.879793 -0.785398 0.877005
-2.617994 -0.785398 0.772277
-2.356194 -0.785398 0.704433
-2.094395 -0.785398 0.617512
-1.832596 -0.785398 0.565854
-1.570796 -0.785398 0.533333
-1.308997 -0.785398 0.565854
-1.047198 -0.785398 0.617512
-0.785398 -0.785398 0.704433
-0.523599 -0.785398 0.772277
-0.261799 -0.785398 0.877005
0.000000 -0.785398 1.000000
0.261799 -0.785398 0.877005
0.523599 -0.785398 0.772277
0.785398 -0.785398 0.704433
1.047198 -0.785398 0.617512
1.308997 -0.785398 0.565854
1.570796 -0.785398 0.533333
1.832596 -0.785398 0.565854
2.094395 -0.785398 0.617512
2.356194 -0.785398 0.704433
2.617994 -0.785398 0.772277
2.879793 -0.785398 0.877005
3.141593 -0.785398 1.000000

-3.141593 -0.523599 1.000000
