#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ADCS.e47378b3-1487-48d7-99ad-2143d6155f1d_Trajectory.txt
# RunID         : PySara
# ObjectID      : e47378b3-1487-48d7-99ad-2143d6155f1d
# ObjectName    : ADCS
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1370.750          90.959    -46.230    -68.191            7.672        10664.955      1.184      0.000      0.000    0.21869   27.96062           -0.74942      194.59300         2.881e-06         8.479e+01         4.232e-01 
  1370.850          90.949    -46.237    -68.194            7.672        10665.713      1.184      0.000      0.000    0.21835   27.95944           -0.74988      194.59418         2.885e-06         8.491e+01         4.236e-01 
  1371.300          90.903    -46.267    -68.205            7.670        10669.120      1.182      0.000      0.000    0.21677   27.95396           -0.75197      194.59946         2.906e-06         8.550e+01         4.257e-01 
  1372.300          90.802    -46.333    -68.229            7.666        10676.689      1.177      0.000      0.000    0.21319   27.94127           -0.75665      194.61124         2.955e-06         8.685e+01         4.306e-01 
  1373.300          90.701    -46.398    -68.254            7.662        10684.254      1.171      0.000      0.000    0.20940   27.92744           -0.76142      194.62305         3.009e-06         8.834e+01         4.359e-01 
  1374.300          90.599    -46.464    -68.279            7.658        10691.815      1.165      0.000      0.000    0.20565   27.91340           -0.76626      194.63490         3.064e-06         8.986e+01         4.413e-01 
  1375.300          90.496    -46.530    -68.304            7.653        10699.372      1.160      0.000      0.000    0.20195   27.89914           -0.77117      194.64679         3.121e-06         9.141e+01         4.467e-01 
  1376.300          90.393    -46.595    -68.329            7.649        10706.924      1.154      0.000      0.000    0.19829   27.88467           -0.77617      194.65872         3.179e-06         9.300e+01         4.523e-01 
  1377.300          90.289    -46.661    -68.354            7.645        10714.473      1.148      0.000      0.000    0.19468   27.86997           -0.78125      194.67069         3.238e-06         9.463e+01         4.579e-01 
  1378.300          90.184    -46.727    -68.379            7.640        10722.017      1.142      0.000      0.000    0.19111   27.85505           -0.78641      194.68270         3.299e-06         9.629e+01         4.636e-01 
