#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ANTENNA.ef1decee-a1e9-480f-b2d1-264eddd0b744_Trajectory.txt
# RunID         : PySara
# ObjectID      : ef1decee-a1e9-480f-b2d1-264eddd0b744
# ObjectName    : ANTENNA
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1370.750          90.959    -46.230    -68.191            7.672        10664.955      0.854      0.000      0.000    0.22102   27.96062           -0.74942      194.59300         2.881e-06         8.479e+01         6.722e-01 
  1370.850          90.949    -46.237    -68.194            7.672        10665.713      0.854      0.000      0.000    0.22068   27.95866           -0.74988      194.59418         2.885e-06         8.491e+01         6.729e-01 
  1371.300          90.903    -46.267    -68.205            7.669        10669.120      0.852      0.000      0.000    0.21909   27.94956           -0.75197      194.59946         2.906e-06         8.547e+01         6.760e-01 
  1372.300          90.803    -46.332    -68.229            7.662        10676.686      0.849      0.000      0.000    0.21548   27.92849           -0.75671      194.61123         2.955e-06         8.677e+01         6.834e-01 
  1373.300          90.701    -46.398    -68.254            7.656        10684.246      0.845      0.000      0.000    0.21164   27.90558           -0.76156      194.62303         3.009e-06         8.820e+01         6.913e-01 
  1374.300          90.599    -46.464    -68.279            7.649        10691.800      0.841      0.000      0.000    0.20786   27.88236           -0.76654      194.63487         3.064e-06         8.966e+01         6.994e-01 
  1375.300          90.496    -46.529    -68.304            7.642        10699.346      0.837      0.000      0.000    0.20412   27.85883           -0.77164      194.64673         3.121e-06         9.115e+01         7.076e-01 
  1376.300          90.393    -46.595    -68.329            7.635        10706.887      0.832      0.000      0.000    0.20042   27.83497           -0.77687      194.65863         3.178e-06         9.267e+01         7.159e-01 
  1377.300          90.289    -46.661    -68.354            7.628        10714.420      0.828      0.000      0.000    0.19677   27.81080           -0.78222      194.67057         3.238e-06         9.422e+01         7.243e-01 
  1378.300          90.185    -46.726    -68.378            7.621        10721.946      0.824      0.000      0.000    0.19317   27.78630           -0.78771      194.68253         3.298e-06         9.581e+01         7.328e-01 
  1379.300          90.080    -46.791    -68.403            7.614        10729.466      0.820      0.000      0.000    0.18961   27.76147           -0.79333      194.69453         3.360e-06         9.743e+01         7.414e-01 
  1380.300          89.974    -46.857    -68.428            7.607        10736.979      0.816      0.000      0.000    0.18610   27.73631           -0.79907      194.70656         3.424e-06         9.909e+01         7.502e-01 
  1381.300          89.868    -46.922    -68.453            7.600        10744.484      0.811      0.000      0.000    0.18263   27.71081           -0.80496      194.71862         3.489e-06         1.008e+02         7.590e-01 
  1382.300          89.760    -46.987    -68.478            7.592        10751.982      0.807      0.000      0.000    0.17920   27.68497           -0.81098      194.73072         3.556e-06         1.025e+02         7.680e-01 
  1383.300          89.653    -47.052    -68.503            7.585        10759.473      0.803      0.000      0.000    0.17581   27.65878           -0.81713      194.74284         3.625e-06         1.043e+02         7.771e-01 
  1384.300          89.544    -47.117    -68.528            7.577        10766.957      0.798      0.000      0.000    0.17247   27.63223           -0.82343      194.75500         3.696e-06         1.061e+02         7.864e-01 
  1385.300          89.435    -47.182    -68.553            7.570        10774.433      0.794      0.000      0.000    0.16917   27.60533           -0.82987      194.76719         3.768e-06         1.080e+02         7.958e-01 
  1386.300          89.325    -47.247    -68.579            7.562        10781.901      0.790      0.000      0.000    0.16590   27.57807           -0.83645      194.77941         3.843e-06         1.099e+02         8.053e-01 
