#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.COMM.5ec80fef-472a-49e4-8831-11217eacc162_Trajectory.txt
# RunID         : PySara
# ObjectID      : 5ec80fef-472a-49e4-8831-11217eacc162
# ObjectName    : COMM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1370.750          90.959    -46.230    -68.191            7.672        10664.955      1.035      0.000      0.000    0.22026   27.96062           -0.74942      194.59300         2.881e-06         8.479e+01         9.667e-01 
  1370.850          90.949    -46.237    -68.194            7.671        10665.713      1.035      0.000      0.000    0.21991   27.95774           -0.74988      194.59418         2.885e-06         8.490e+01         9.677e-01 
  1371.300          90.903    -46.267    -68.205            7.667        10669.119      1.033      0.000      0.000    0.21833   27.94435           -0.75198      194.59946         2.906e-06         8.544e+01         9.719e-01 
  1372.300          90.803    -46.332    -68.229            7.658        10676.683      1.028      0.000      0.000    0.21473   27.91339           -0.75677      194.61122         2.955e-06         8.668e+01         9.818e-01 
  1373.300          90.701    -46.398    -68.254            7.648        10684.237      1.024      0.000      0.000    0.21091   27.87977           -0.76173      194.62301         3.009e-06         8.804e+01         9.925e-01 
  1374.300          90.599    -46.464    -68.279            7.638        10691.781      1.019      0.000      0.000    0.20714   27.84573           -0.76687      194.63482         3.064e-06         8.942e+01         1.003e+00 
  1375.300          90.497    -46.529    -68.304            7.629        10699.317      1.014      0.000      0.000    0.20342   27.81128           -0.77219      194.64666         3.121e-06         9.083e+01         1.014e+00 
  1376.300          90.394    -46.595    -68.329            7.619        10706.842      1.009      0.000      0.000    0.19974   27.77642           -0.77769      194.65853         3.178e-06         9.227e+01         1.025e+00 
  1377.300          90.290    -46.660    -68.353            7.609        10714.358      1.004      0.000      0.000    0.19611   27.74113           -0.78338      194.67042         3.237e-06         9.374e+01         1.036e+00 
  1378.300          90.185    -46.725    -68.378            7.599        10721.863      0.999      0.000      0.000    0.19252   27.70542           -0.78925      194.68233         3.298e-06         9.524e+01         1.048e+00 
  1379.300          90.080    -46.790    -68.403            7.588        10729.359      0.994      0.000      0.000    0.18898   27.66928           -0.79530      194.69427         3.360e-06         9.677e+01         1.059e+00 
  1380.300          89.975    -46.855    -68.428            7.578        10736.845      0.989      0.000      0.000    0.18548   27.63271           -0.80155      194.70623         3.424e-06         9.834e+01         1.071e+00 
  1381.300          89.868    -46.920    -68.453            7.568        10744.320      0.984      0.000      0.000    0.18202   27.59569           -0.80799      194.71822         3.489e-06         9.994e+01         1.082e+00 
  1382.300          89.761    -46.985    -68.478            7.557        10751.785      0.978      0.000      0.000    0.17861   27.55823           -0.81463      194.73023         3.556e-06         1.016e+02         1.094e+00 
  1383.300          89.654    -47.050    -68.503            7.546        10759.240      0.973      0.000      0.000    0.17523   27.52031           -0.82146      194.74227         3.625e-06         1.032e+02         1.106e+00 
  1384.300          89.545    -47.115    -68.527            7.536        10766.684      0.968      0.000      0.000    0.17190   27.48194           -0.82850      194.75433         3.695e-06         1.050e+02         1.119e+00 
  1385.300          89.436    -47.179    -68.552            7.525        10774.117      0.962      0.000      0.000    0.16860   27.44311           -0.83573      194.76641         3.768e-06         1.067e+02         1.131e+00 
  1386.300          89.325    -47.244    -68.577            7.514        10781.540      0.957      0.000      0.000    0.16534   27.40381           -0.84317      194.77851         3.842e-06         1.085e+02         1.144e+00 
  1387.300          89.214    -47.308    -68.602            7.503        10788.952      0.952      0.000      0.000    0.16213   27.36403           -0.85082      194.79064         3.919e-06         1.103e+02         1.156e+00 
  1388.300          89.103    -47.372    -68.627            7.491        10796.352      0.946      0.000      0.000    0.15895   27.32377           -0.85868      194.80279         3.997e-06         1.122e+02         1.169e+00 
  1389.300          88.990    -47.437    -68.652            7.480        10803.742      0.941      0.000      0.000    0.15581   27.28302           -0.86675      194.81495         4.078e-06         1.141e+02         1.182e+00 
  1390.300          88.876    -47.501    -68.677            7.468        10811.120      0.935      0.000      0.000    0.15270   27.24177           -0.87504      194.82714         4.161e-06         1.161e+02         1.196e+00 
  1391.300          88.762    -47.565    -68.702            7.457        10818.487      0.930      0.000      0.000    0.14964   27.20002           -0.88354      194.83936         4.247e-06         1.181e+02         1.209e+00 
  1392.300          88.646    -47.629    -68.727            7.445        10825.842      0.924      0.000      0.000    0.14661   27.15776           -0.89227      194.85159         4.335e-06         1.202e+02         1.223e+00 
  1393.300          88.530    -47.692    -68.752            7.433        10833.185      0.918      0.000      0.000    0.14361   27.11499           -0.90122      194.86384         4.425e-06         1.223e+02         1.237e+00 
  1394.300          88.413    -47.756    -68.778            7.421        10840.517      0.913      0.000      0.000    0.14065   27.07169           -0.91040      194.87611         4.518e-06         1.245e+02         1.251e+00 
  1395.300          88.294    -47.820    -68.803            7.409        10847.837      0.907      0.000      0.000    0.13773   27.02785           -0.91981      194.88840         4.615e-06         1.267e+02         1.265e+00 
  1396.300          88.175    -47.883    -68.828            7.396        10855.145      0.901      0.000      0.000    0.13485   26.98348           -0.92945      194.90071         4.714e-06         1.290e+02         1.280e+00 
