#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Compound_of-SOLAR_PANEL+X-SOLAR_PANEL-X-SOLAR_PANEL+Y-Solar_panel-y-SOLAR_PANEL+Z-SOLAR_PANEL-Z-Structure.17276616445358212567_Trajectory.txt
# RunID         : PySara
# ObjectID      : 17276616445358212567
# ObjectName    : Compound_of-SOLAR_PANEL+X-SOLAR_PANEL-X-SOLAR_PANEL+Y-Solar_panel-y-SOLAR_PANEL+Z-SOLAR_PANEL-Z-Structure
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.000         124.895     47.256    -44.308            7.910            0.000      1.700      0.000      0.000   31.20347   18.25938           -0.14617      194.84073         1.305e-08         4.082e-01         1.490e-03 
     0.100         124.893     47.250    -44.310            7.910            0.777      1.700      0.000      0.000   31.19813   18.25986           -0.14617      194.83941         1.305e-08         4.083e-01         1.491e-03 
     0.550         124.884     47.219    -44.322            7.910            4.271      1.700      0.000      0.000   31.17336   18.26206           -0.14618      194.83350         1.306e-08         4.086e-01         1.492e-03 
     1.550         124.864     47.152    -44.348            7.910           12.037      1.700      0.000      0.000   31.11662   18.26711           -0.14621      194.82040         1.309e-08         4.094e-01         1.495e-03 
     2.550         124.844     47.084    -44.374            7.910           19.804      1.700      0.000      0.000   31.05580   18.27253           -0.14623      194.80736         1.311e-08         4.102e-01         1.498e-03 
     3.550         124.824     47.017    -44.400            7.910           27.570      1.700      0.000      0.000   30.99507   18.27795           -0.14626      194.79437         1.314e-08         4.110e-01         1.501e-03 
     4.550         124.804     46.949    -44.426            7.910           35.337      1.700      0.000      0.000   30.93444   18.28338           -0.14628      194.78143         1.317e-08         4.119e-01         1.504e-03 
     5.550         124.783     46.882    -44.452            7.910           43.103      1.700      0.000      0.000   30.87380   18.28883           -0.14630      194.76855         1.319e-08         4.127e-01         1.507e-03 
     6.550         124.763     46.815    -44.478            7.910           50.870      1.700      0.000      0.000   30.81321   18.29428           -0.14633      194.75572         1.322e-08         4.135e-01         1.510e-03 
     7.550         124.743     46.747    -44.504            7.910           58.637      1.700      0.000      0.000   30.75273   18.29974           -0.14635      194.74294         1.325e-08         4.144e-01         1.513e-03 
