#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.EPS.c6f93ddd-13e8-4599-b4e2-9b50c6ce708d_Trajectory.txt
# RunID         : PySara
# ObjectID      : c6f93ddd-13e8-4599-b4e2-9b50c6ce708d
# ObjectName    : EPS
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1370.750          90.959    -46.230    -68.191            7.672        10664.955      0.985      0.000      0.000    0.22059   27.96062           -0.74942      194.59300         2.881e-06         8.479e+01         1.380e+00 
  1370.850          90.949    -46.237    -68.194            7.671        10665.713      0.985      0.000      0.000    0.22024   27.95645           -0.74988      194.59418         2.885e-06         8.490e+01         1.381e+00 
  1371.300          90.903    -46.267    -68.205            7.665        10669.119      0.983      0.000      0.000    0.21866   27.93704           -0.75199      194.59946         2.906e-06         8.539e+01         1.387e+00 
  1372.300          90.803    -46.332    -68.229            7.651        10676.678      0.979      0.000      0.000    0.21505   27.89224           -0.75686      194.61121         2.955e-06         8.655e+01         1.399e+00 
  1373.300          90.701    -46.398    -68.254            7.638        10684.224      0.974      0.000      0.000    0.21123   27.84364           -0.76197      194.62298         3.009e-06         8.781e+01         1.413e+00 
  1374.300          90.599    -46.464    -68.279            7.624        10691.756      0.969      0.000      0.000    0.20746   27.79452           -0.76734      194.63476         3.064e-06         8.909e+01         1.427e+00 
  1375.300          90.497    -46.529    -68.304            7.610        10699.275      0.965      0.000      0.000    0.20374   27.74488           -0.77297      194.64656         3.120e-06         9.039e+01         1.441e+00 
  1376.300          90.394    -46.594    -68.328            7.596        10706.780      0.960      0.000      0.000    0.20006   27.69471           -0.77885      194.65838         3.178e-06         9.172e+01         1.455e+00 
  1377.300          90.291    -46.659    -68.353            7.582        10714.270      0.955      0.000      0.000    0.19643   27.64401           -0.78499      194.67021         3.237e-06         9.307e+01         1.469e+00 
  1378.300          90.186    -46.724    -68.378            7.567        10721.747      0.951      0.000      0.000    0.19284   27.59278           -0.79140      194.68205         3.297e-06         9.445e+01         1.483e+00 
  1379.300          90.082    -46.789    -68.403            7.553        10729.210      0.946      0.000      0.000    0.18930   27.54101           -0.79807      194.69391         3.359e-06         9.586e+01         1.498e+00 
  1380.300          89.976    -46.854    -68.427            7.538        10736.658      0.941      0.000      0.000    0.18579   27.48870           -0.80502      194.70578         3.423e-06         9.730e+01         1.512e+00 
  1381.300          89.870    -46.918    -68.452            7.523        10744.092      0.936      0.000      0.000    0.18233   27.43583           -0.81224      194.71767         3.488e-06         9.876e+01         1.527e+00 
  1382.300          89.763    -46.983    -68.477            7.508        10751.511      0.931      0.000      0.000    0.17891   27.38241           -0.81973      194.72956         3.555e-06         1.003e+02         1.542e+00 
  1383.300          89.655    -47.047    -68.501            7.493        10758.915      0.926      0.000      0.000    0.17553   27.32843           -0.82751      194.74147         3.624e-06         1.018e+02         1.557e+00 
  1384.300          89.546    -47.111    -68.526            7.478        10766.305      0.921      0.000      0.000    0.17219   27.27388           -0.83557      194.75339         3.694e-06         1.034e+02         1.573e+00 
  1385.300          89.437    -47.175    -68.551            7.463        10773.679      0.916      0.000      0.000    0.16889   27.21875           -0.84392      194.76532         3.767e-06         1.049e+02         1.588e+00 
  1386.300          89.326    -47.239    -68.576            7.447        10781.038      0.911      0.000      0.000    0.16562   27.16305           -0.85256      194.77727         3.841e-06         1.066e+02         1.604e+00 
  1387.300          89.215    -47.303    -68.600            7.431        10788.382      0.906      0.000      0.000    0.16239   27.10675           -0.86149      194.78922         3.918e-06         1.082e+02         1.620e+00 
  1388.300          89.103    -47.367    -68.625            7.416        10795.710      0.901      0.000      0.000    0.15920   27.04986           -0.87072      194.80118         3.997e-06         1.100e+02         1.636e+00 
  1389.300          88.990    -47.430    -68.650            7.400        10803.022      0.895      0.000      0.000    0.15604   26.99237           -0.88025      194.81315         4.078e-06         1.117e+02         1.652e+00 
  1390.300          88.876    -47.494    -68.675            7.383        10810.319      0.890      0.000      0.000    0.15291   26.93427           -0.89009      194.82513         4.162e-06         1.135e+02         1.669e+00 
  1391.300          88.760    -47.557    -68.699            7.367        10817.600      0.885      0.000      0.000    0.14982   26.87554           -0.90023      194.83712         4.248e-06         1.153e+02         1.686e+00 
  1392.300          88.644    -47.620    -68.724            7.351        10824.864      0.879      0.000      0.000    0.14677   26.81619           -0.91069      194.84911         4.336e-06         1.172e+02         1.703e+00 
  1393.300          88.527    -47.683    -68.749            7.334        10832.112      0.874      0.000      0.000    0.14375   26.75619           -0.92146      194.86111         4.428e-06         1.191e+02         1.720e+00 
  1394.300          88.408    -47.746    -68.773            7.317        10839.344      0.868      0.000      0.000    0.14076   26.69556           -0.93256      194.87312         4.522e-06         1.211e+02         1.738e+00 
  1395.300          88.288    -47.809    -68.798            7.300        10846.559      0.863      0.000      0.000    0.13780   26.63426           -0.94398      194.88514         4.619e-06         1.232e+02         1.755e+00 
  1396.300          88.168    -47.871    -68.823            7.283        10853.757      0.857      0.000      0.000    0.13488   26.57230           -0.95573      194.89715         4.719e-06         1.252e+02         1.774e+00 
  1397.300          88.045    -47.933    -68.848            7.266        10860.938      0.852      0.000      0.000    0.13199   26.50966           -0.96781      194.90918         4.823e-06         1.274e+02         1.792e+00 
  1398.300          87.922    -47.996    -68.872            7.248        10868.102      0.846      0.000      0.000    0.12914   26.44634           -0.98023      194.92120         4.930e-06         1.296e+02         1.811e+00 
  1399.300          87.797    -48.058    -68.897            7.230        10875.249      0.840      0.000      0.000    0.12632   26.38231           -0.99299      194.93323         5.040e-06         1.318e+02         1.830e+00 
  1400.300          87.671    -48.120    -68.922            7.213        10882.378      0.835      0.000      0.000    0.12353   26.31758           -1.00609      194.94526         5.154e-06         1.341e+02         1.850e+00 
  1401.300          87.544    -48.181    -68.946            7.194        10889.489      0.829      0.000      0.000    0.12077   26.25213           -1.01955      194.95729         5.272e-06         1.365e+02         1.869e+00 
  1402.300          87.415    -48.243    -68.971            7.176        10896.583      0.823      0.000      0.000    0.11804   26.18594           -1.03336      194.96933         5.394e-06         1.390e+02         1.890e+00 
  1403.300          87.285    -48.304    -68.995            7.158        10903.658      0.817      0.000      0.000    0.11535   26.11901           -1.04754      194.98136         5.520e-06         1.415e+02         1.910e+00 
  1404.300          87.154    -48.365    -69.020            7.139        10910.715      0.811      0.000      0.000    0.11269   26.05133           -1.06208      194.99339         5.650e-06         1.441e+02         1.931e+00 
  1405.300          87.021    -48.427    -69.045            7.120        10917.754      0.806      0.000      0.000    0.11006   25.98287           -1.07699      195.00542         5.785e-06         1.467e+02         1.953e+00 
  1406.300          86.886    -48.487    -69.069            7.101        10924.774      0.800      0.000      0.000    0.10747   25.91363           -1.09227      195.01745         5.925e-06         1.495e+02         1.975e+00 
