#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.OBC.4a9aeba4-5db7-410e-87ac-ff00eb69a367_Trajectory.txt
# RunID         : PySara
# ObjectID      : 4a9aeba4-5db7-410e-87ac-ff00eb69a367
# ObjectName    : OBC
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1370.750          90.959    -46.230    -68.191            7.672        10664.955      1.122      0.000      0.000    0.21942   27.96062           -0.74942      194.59300         2.881e-06         8.479e+01         8.356e-01 
  1370.850          90.949    -46.237    -68.194            7.671        10665.713      1.121      0.000      0.000    0.21908   27.95815           -0.74988      194.59418         2.885e-06         8.491e+01         8.364e-01 
  1371.300          90.903    -46.267    -68.205            7.668        10669.119      1.119      0.000      0.000    0.21750   27.94667           -0.75198      194.59946         2.906e-06         8.545e+01         8.402e-01 
  1372.300          90.803    -46.332    -68.229            7.660        10676.684      1.114      0.000      0.000    0.21392   27.92011           -0.75674      194.61123         2.955e-06         8.672e+01         8.490e-01 
  1373.300          90.701    -46.398    -68.254            7.651        10684.241      1.109      0.000      0.000    0.21011   27.89125           -0.76166      194.62302         3.009e-06         8.811e+01         8.586e-01 
  1374.300          90.599    -46.464    -68.279            7.643        10691.790      1.104      0.000      0.000    0.20635   27.86202           -0.76672      194.63484         3.064e-06         8.953e+01         8.682e-01 
  1375.300          90.497    -46.529    -68.304            7.635        10699.330      1.098      0.000      0.000    0.20264   27.83243           -0.77195      194.64669         3.121e-06         9.097e+01         8.779e-01 
  1376.300          90.393    -46.595    -68.329            7.626        10706.862      1.093      0.000      0.000    0.19898   27.80246           -0.77733      194.65857         3.178e-06         9.245e+01         8.878e-01 
  1377.300          90.290    -46.660    -68.353            7.617        10714.385      1.088      0.000      0.000    0.19536   27.77211           -0.78286      194.67048         3.237e-06         9.395e+01         8.978e-01 
  1378.300          90.185    -46.726    -68.378            7.609        10721.900      1.082      0.000      0.000    0.19178   27.74137           -0.78856      194.68242         3.298e-06         9.549e+01         9.079e-01 
  1379.300          90.080    -46.791    -68.403            7.600        10729.407      1.077      0.000      0.000    0.18825   27.71025           -0.79442      194.69439         3.360e-06         9.707e+01         9.182e-01 
  1380.300          89.974    -46.856    -68.428            7.591        10736.904      1.071      0.000      0.000    0.18477   27.67874           -0.80045      194.70638         3.424e-06         9.867e+01         9.286e-01 
  1381.300          89.868    -46.921    -68.453            7.582        10744.393      1.065      0.000      0.000    0.18132   27.64683           -0.80664      194.71840         3.489e-06         1.003e+02         9.391e-01 
  1382.300          89.761    -46.986    -68.478            7.573        10751.873      1.060      0.000      0.000    0.17792   27.61452           -0.81300      194.73045         3.556e-06         1.020e+02         9.497e-01 
  1383.300          89.653    -47.051    -68.503            7.564        10759.343      1.054      0.000      0.000    0.17456   27.58180           -0.81954      194.74252         3.625e-06         1.037e+02         9.605e-01 
