#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PAYLOAD.83963a6f-141e-4505-8936-17fa406040df_Trajectory.txt
# RunID         : PySara
# ObjectID      : 83963a6f-141e-4505-8936-17fa406040df
# ObjectName    : PAYLOAD
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1370.750          90.959    -46.230    -68.191            7.672        10664.955      1.526      0.000      0.000    0.21184   27.96062           -0.74942      194.59300         2.881e-06         8.479e+01         7.886e-01 
  1370.850          90.949    -46.237    -68.194            7.672        10665.713      1.525      0.000      0.000    0.21151   27.95830           -0.74988      194.59418         2.885e-06         8.491e+01         7.894e-01 
  1371.300          90.903    -46.267    -68.205            7.668        10669.119      1.522      0.000      0.000    0.20999   27.94750           -0.75198      194.59946         2.906e-06         8.546e+01         7.930e-01 
  1372.300          90.803    -46.332    -68.229            7.660        10676.685      1.516      0.000      0.000    0.20652   27.92253           -0.75673      194.61123         2.955e-06         8.674e+01         8.013e-01 
  1373.300          90.701    -46.398    -68.254            7.653        10684.242      1.508      0.000      0.000    0.20285   27.89538           -0.76163      194.62302         3.009e-06         8.814e+01         8.103e-01 
  1374.300          90.599    -46.464    -68.279            7.645        10691.792      1.501      0.000      0.000    0.19922   27.86789           -0.76667      194.63485         3.064e-06         8.956e+01         8.195e-01 
  1375.300          90.496    -46.529    -68.304            7.637        10699.335      1.494      0.000      0.000    0.19564   27.84004           -0.77186      194.64671         3.121e-06         9.102e+01         8.287e-01 
  1376.300          90.393    -46.595    -68.329            7.629        10706.869      1.486      0.000      0.000    0.19210   27.81184           -0.77719      194.65859         3.178e-06         9.251e+01         8.381e-01 
  1377.300          90.290    -46.660    -68.353            7.621        10714.395      1.479      0.000      0.000    0.18861   27.78328           -0.78268      194.67051         3.238e-06         9.403e+01         8.476e-01 
  1378.300          90.185    -46.726    -68.378            7.612        10721.914      1.471      0.000      0.000    0.18515   27.75435           -0.78832      194.68245         3.298e-06         9.558e+01         8.572e-01 
  1379.300          90.080    -46.791    -68.403            7.604        10729.424      1.464      0.000      0.000    0.18174   27.72505           -0.79411      194.69443         3.360e-06         9.717e+01         8.669e-01 
  1380.300          89.974    -46.856    -68.428            7.596        10736.926      1.456      0.000      0.000    0.17838   27.69538           -0.80005      194.70643         3.424e-06         9.879e+01         8.768e-01 
  1381.300          89.868    -46.921    -68.453            7.587        10744.419      1.448      0.000      0.000    0.17505   27.66534           -0.80616      194.71846         3.489e-06         1.005e+02         8.868e-01 
  1382.300          89.761    -46.986    -68.478            7.578        10751.904      1.440      0.000      0.000    0.17177   27.63490           -0.81242      194.73053         3.556e-06         1.022e+02         8.969e-01 
  1383.300          89.653    -47.051    -68.503            7.570        10759.381      1.433      0.000      0.000    0.16852   27.60408           -0.81884      194.74262         3.625e-06         1.039e+02         9.072e-01 
  1384.300          89.544    -47.116    -68.528            7.561        10766.849      1.425      0.000      0.000    0.16531   27.57287           -0.82543      194.75473         3.696e-06         1.057e+02         9.176e-01 
  1385.300          89.435    -47.181    -68.553            7.552        10774.308      1.417      0.000      0.000    0.16215   27.54126           -0.83218      194.76688         3.768e-06         1.075e+02         9.281e-01 
  1386.300          89.325    -47.246    -68.578            7.543        10781.759      1.409      0.000      0.000    0.15902   27.50924           -0.83910      194.77905         3.842e-06         1.093e+02         9.389e-01 
  1387.300          89.214    -47.310    -68.603            7.534        10789.200      1.401      0.000      0.000    0.15593   27.47681           -0.84619      194.79126         3.919e-06         1.112e+02         9.497e-01 
  1388.300          89.103    -47.375    -68.628            7.525        10796.632      1.392      0.000      0.000    0.15287   27.44397           -0.85345      194.80349         3.997e-06         1.132e+02         9.608e-01 
  1389.300          88.990    -47.439    -68.653            7.515        10804.056      1.384      0.000      0.000    0.14986   27.41070           -0.86089      194.81574         4.078e-06         1.152e+02         9.720e-01 
  1390.300          88.877    -47.504    -68.679            7.506        10811.470      1.376      0.000      0.000    0.14688   27.37701           -0.86850      194.82802         4.161e-06         1.172e+02         9.834e-01 
  1391.300          88.763    -47.568    -68.704            7.496        10818.874      1.368      0.000      0.000    0.14394   27.34288           -0.87629      194.84033         4.246e-06         1.193e+02         9.950e-01 
