#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Structure.a8639e99-0008-45a4-b2da-5ab048880d15_Trajectory.txt
# RunID         : PySara
# ObjectID      : a8639e99-0008-45a4-b2da-5ab048880d15
# ObjectName    : Structure
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1291.200          97.456    -40.935    -66.349            7.790        10057.037      2.951      0.000      0.000    0.51973   27.93734           -0.48856      193.78513         8.910e-07         2.704e+01         9.565e-02 
  1291.300          97.450    -40.941    -66.351            7.790        10057.806      2.951      0.000      0.000    0.51919   27.93782           -0.48880      193.78600         8.920e-07         2.706e+01         9.573e-02 
  1291.750          97.420    -40.971    -66.361            7.790        10061.266      2.949      0.000      0.000    0.51666   27.94004           -0.48987      193.78991         8.964e-07         2.720e+01         9.614e-02 
  1292.750          97.353    -41.039    -66.383            7.789        10068.954      2.945      0.000      0.000    0.51090   27.94506           -0.49225      193.79865         9.066e-07         2.750e+01         9.708e-02 
  1293.750          97.286    -41.106    -66.405            7.788        10076.642      2.940      0.000      0.000    0.50476   27.95041           -0.49465      193.80741         9.178e-07         2.783e+01         9.810e-02 
  1294.750          97.219    -41.173    -66.427            7.787        10084.328      2.936      0.000      0.000    0.49866   27.95563           -0.49707      193.81621         9.292e-07         2.817e+01         9.914e-02 
  1295.750          97.151    -41.240    -66.448            7.786        10092.013      2.931      0.000      0.000    0.49260   27.96079           -0.49950      193.82505         9.408e-07         2.852e+01         1.002e-01 
  1296.750          97.083    -41.307    -66.470            7.785        10099.698      2.926      0.000      0.000    0.48659   27.96588           -0.50195      193.83392         9.525e-07         2.887e+01         1.012e-01 
  1297.750          97.015    -41.374    -66.492            7.784        10107.382      2.921      0.000      0.000    0.48063   27.97086           -0.50442      193.84282         9.645e-07         2.922e+01         1.023e-01 
  1298.750          96.946    -41.441    -66.514            7.783        10115.065      2.916      0.000      0.000    0.47471   27.97576           -0.50691      193.85175         9.767e-07         2.958e+01         1.034e-01 
  1299.750          96.877    -41.508    -66.536            7.782        10122.746      2.911      0.000      0.000    0.46884   27.98058           -0.50941      193.86072         9.890e-07         2.995e+01         1.045e-01 
  1300.750          96.807    -41.575    -66.558            7.781        10130.427      2.906      0.000      0.000    0.46301   27.98531           -0.51194      193.86973         1.002e-06         3.033e+01         1.056e-01 
  1301.750          96.738    -41.642    -66.580            7.780        10138.107      2.901      0.000      0.000    0.45723   27.98993           -0.51448      193.87877         1.014e-06         3.071e+01         1.068e-01 
  1302.750          96.668    -41.709    -66.602            7.780        10145.786      2.895      0.000      0.000    0.45150   27.99448           -0.51704      193.88784         1.027e-06         3.109e+01         1.079e-01 
  1303.750          96.597    -41.776    -66.624            7.779        10153.464      2.890      0.000      0.000    0.44581   27.99894           -0.51962      193.89695         1.041e-06         3.149e+01         1.091e-01 
  1304.750          96.527    -41.843    -66.646            7.778        10161.142      2.884      0.000      0.000    0.44017   28.00327           -0.52222      193.90609         1.054e-06         3.189e+01         1.102e-01 
  1305.750          96.456    -41.910    -66.669            7.777        10168.818      2.878      0.000      0.000    0.43457   28.00753           -0.52483      193.91527         1.068e-06         3.229e+01         1.114e-01 
  1306.750          96.384    -41.977    -66.691            7.776        10176.493      2.872      0.000      0.000    0.42902   28.01170           -0.52747      193.92449         1.082e-06         3.271e+01         1.126e-01 
  1307.750          96.312    -42.044    -66.713            7.774        10184.167      2.867      0.000      0.000    0.42352   28.01575           -0.53013      193.93374         1.096e-06         3.313e+01         1.138e-01 
  1308.750          96.240    -42.110    -66.735            7.773        10191.840      2.861      0.000      0.000    0.41806   28.01970           -0.53280      193.94302         1.111e-06         3.356e+01         1.151e-01 
  1309.750          96.168    -42.177    -66.758            7.772        10199.512      2.854      0.000      0.000    0.41265   28.02356           -0.53550      193.95234         1.125e-06         3.399e+01         1.163e-01 
  1310.750          96.095    -42.244    -66.780            7.771        10207.183      2.848      0.000      0.000    0.40729   28.02733           -0.53822      193.96170         1.140e-06         3.444e+01         1.176e-01 
  1311.750          96.022    -42.311    -66.803            7.770        10214.853      2.842      0.000      0.000    0.40197   28.03096           -0.54095      193.97109         1.156e-06         3.489e+01         1.189e-01 
  1312.750          95.948    -42.378    -66.825            7.769        10222.522      2.836      0.000      0.000    0.39669   28.03449           -0.54371      193.98051         1.171e-06         3.535e+01         1.201e-01 
  1313.750          95.874    -42.445    -66.847            7.768        10230.189      2.829      0.000      0.000    0.39146   28.03793           -0.54649      193.98998         1.187e-06         3.582e+01         1.215e-01 
  1314.750          95.800    -42.512    -66.870            7.767        10237.856      2.822      0.000      0.000    0.38628   28.04125           -0.54929      193.99948         1.203e-06         3.629e+01         1.228e-01 
  1315.750          95.725    -42.579    -66.892            7.766        10245.522      2.816      0.000      0.000    0.38114   28.04444           -0.55211      194.00901         1.220e-06         3.678e+01         1.241e-01 
  1316.750          95.650    -42.645    -66.915            7.765        10253.186      2.809      0.000      0.000    0.37604   28.04753           -0.55496      194.01859         1.236e-06         3.727e+01         1.255e-01 
